"relative_path","absolute_path","category","signature","purpose","direct_public_dependencies","sha256","validation_status"
"2208_hy/private/ad2208Config.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/private/ad2208Config.m","private配置和辅助","function config = ad2208Config(analysisId)","按分类使用；不是独立测量入口","converter.calibration.reportCalibration; converter.runtime.sha256File","ea4918ed316d483ef832ffdbca3cf3e4c9ff0518f02857814d09d6bfb635d63f","按本次实施报告逐项核对；清单不等于方法已验证"
"2208_hy/private/bootstrapRuntime.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/private/bootstrapRuntime.m","private配置和辅助","function bootstrapRuntime()","按分类使用；不是独立测量入口","","ed5bb95178bdd614bfa854bc68e4459aa3114257f2e1b2d9fd095a76118f7fb5","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/adc_bandwidth_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/adc_bandwidth_analysis.m","正式单项入口","function results = adc_bandwidth_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","频率响应、−3 dB带宽","converter.adc.runBandwidth; converter.io.parseFrequencyHz; converter.io.prepareAdcRadix; converter.io.readAdcCsv; converter.io.resolveInputPath; converter.io.selectCsvFiles; converter.runtime.applyRunOptions","c9057a4f9a0fb672789615e3c52c3a25cab7aa3ac511949ec7fc3afcefa7d53e","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/adc_ila_noise_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/adc_ila_noise_analysis.m","正式单项入口","function results = adc_ila_noise_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","ILA输入等效PSD/ASD和频带积分","converter.adc.runInputNoise; converter.io.prepareAdcRadix; converter.io.resolveAdcChannels; converter.io.resolveInputPath; converter.io.resolveOutputBase; converter.io.selectCsvFiles; converter.runtime.applyRunOptions","fd67195a9469b9cbde619e865b487b74b0370ec2a8d442aa274f0e19e7d20068","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/adc_pico_noise_1hz_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/adc_pico_noise_1hz_analysis.m","正式单项入口","function result = adc_pico_noise_1hz_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","PICO联合DA9726刻度的输入等效1 Hz ASD","converter.io.loadPicoMat; converter.io.resolveOutputBase","c2bb7f1eb4505c0e0e6d2737f72f6ace748dfc4f52f236d35a05252da9cae33f","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/adc_power_scale_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/adc_power_scale_analysis.m","正式单项入口","function results = adc_power_scale_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","CodePp→Vpp刻度、99%临界输入估计","converter.adc.runPowerScale; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","a4ea5be9b65300e206462b96cb445f9da79cb4bff6237a29632352661f50a71e","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/audit_ad677_results.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/audit_ad677_results.m","器件辅助工具或历史调度","function auditTable = audit_ad677_results(dataRoot)","按分类使用；不是独立测量入口","converter.report.writeTable; converter.runtime.auditRun","596b1f1b567a93fca584b8c3b3827c912f66fe2a9da156cac55d0cbf70986477","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/ila_waveform_fft.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/ila_waveform_fft.m","器件辅助工具或历史调度","function result = ila_waveform_fft(csvFile, opts)","按分类使用；不是独立测量入口","","849e0494ac757328dbd4fbb510da60c01280b400bad7073480c8a71356d738c7","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/private/ad677Config.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/private/ad677Config.m","private配置和辅助","function config = ad677Config(analysisId)","按分类使用；不是独立测量入口","converter.calibration.reportCalibration","8f1d4f59895ee0ebd0040ddeeef0502e3be2ebb9190ede258edf6f4c133227ae","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/private/ad677PowerSetpoints.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/private/ad677PowerSetpoints.m","private配置和辅助","function setpoints = ad677PowerSetpoints(dataFolder, selectedFiles)","按分类使用；不是独立测量入口","","a54331fa1dccc91870c5ebd26a22ce1ce11f4b70426cfc3704cf93d15db835f3","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/private/ad677ResolveInputs.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/private/ad677ResolveInputs.m","private配置和辅助","function [dataFolder, selectedFiles, outputFolder] = ad677ResolveInputs( dataFolder, selectedFiles, outputFolder)","按分类使用；不是独立测量入口","converter.io.resolveOutputBase; converter.io.selectCsvFiles","16bd5fae3e4ede1b8c9afa8d3642f764d72aec7829d13b48df9f603cfa83caa6","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/private/bootstrapRuntime.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/private/bootstrapRuntime.m","private配置和辅助","function bootstrapRuntime()","按分类使用；不是独立测量入口","","be1051cd19aaf90d022ca78c8107c0762185ca15dd40bf86d0f354bf2088e165","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/run_ad677_batch.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/run_ad677_batch.m","器件辅助工具或历史调度","function batchSummary = run_ad677_batch(dataRoot)","按分类使用；不是独立测量入口","","eeafa22ab2af439b94a6e746b726335eb4881220fca71257155f10e7a513be2e","按本次实施报告逐项核对；清单不等于方法已验证"
"677_hy/run_ila_waveform_fft.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/677_hy/run_ila_waveform_fft.m","器件辅助工具或历史调度","function results = run_ila_waveform_fft(csvFiles, resultDir, opts)","按分类使用；不是独立测量入口","","ef84fd52fd0a38273c9373270426dcb7eb783274b353a197d7215892c7a03cf0","按本次实施报告逐项核对；清单不等于方法已验证"
"766_hy/dac_isolation_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/766_hy/dac_isolation_analysis.m","正式单项入口","function result = dac_isolation_analysis(dataFolder, pairManifest, outputFolder, configOverride)","DAC同频隔离度及矩阵","converter.dac.runIsolation; converter.io.prepareDacIsolation","9555e0e9d758c8c2a60a68c6773ce7540e63a7abe8272067bfe919d6af7d74cd","按本次实施报告逐项核对；清单不等于方法已验证"
"766_hy/dac_noise_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/766_hy/dac_noise_analysis.m","正式单项入口","function result = dac_noise_analysis(dataFolder, selectedFiles, outputFolder, configOverride)","DAC输出PSD/ASD，按配置启用积分","converter.dac.runNoise; converter.io.prepareDacInputs","932bfcf400ba15345d32d2c0ee8aac71e05de2682889502a0b44ce02ddd79629","按本次实施报告逐项核对；清单不等于方法已验证"
"766_hy/dac_scale_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/766_hy/dac_scale_analysis.m","正式单项入口","function result = dac_scale_analysis(dataFolder, selectedFiles, outputFolder, configOverride)","DAC正弦输出Vpp和码值刻度","converter.dac.runScale; converter.io.prepareDacInputs","035066b7717b56bf78fea23de5c570806d42ee503c912f85c61e0e460724ff0a","按本次实施报告逐项核对；清单不等于方法已验证"
"766_hy/dac_scale_hex_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/766_hy/dac_scale_hex_analysis.m","正式单项入口","function result = dac_scale_hex_analysis(dataFolder, selectedFiles, outputFolder)","DA766十六进制正弦刻度","converter.dac.runScale; converter.io.loadPicoMat; converter.io.resolveInputPath; converter.io.selectMatFiles","a5f9153504914f566ee7c2af423298d73bc019228b2ebcf94f8b9b52763d4959","按本次实施报告逐项核对；清单不等于方法已验证"
"766_hy/private/bootstrapRuntime.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/766_hy/private/bootstrapRuntime.m","private配置和辅助","function bootstrapRuntime()","按分类使用；不是独立测量入口","","af3931e7f67589898bea49542e5ee8e7c71873737a3cf953f714ca81bfa1a829","按本次实施报告逐项核对；清单不等于方法已验证"
"766_hy/private/da766Config.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/766_hy/private/da766Config.m","private配置和辅助","function config = da766Config(analysisId)","按分类使用；不是独立测量入口","converter.calibration.reportCalibration","11d513472e35f95c2763514d54663a0291819d895d14ae2b3b7e8c178e4617a6","按本次实施报告逐项核对；清单不等于方法已验证"
"9245_hy/adc_bandwidth_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9245_hy/adc_bandwidth_analysis.m","正式单项入口","function results = adc_bandwidth_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","频率响应、−3 dB带宽","converter.adc.runBandwidth; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","5f246def53aa6da93a687ac4740d73eb34ba4471f1ae33314d4dd4bdd3cb2a16","按本次实施报告逐项核对；清单不等于方法已验证"
"9245_hy/adc_inl_dnl_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9245_hy/adc_inl_dnl_analysis.m","正式单项入口","function results = adc_inl_dnl_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","正弦码密度INL/DNL","converter.adc.runInlDnl; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","d4b66874d3b7e368a1300784664e10723ec7de6d5417085324c6088e6a03bcab","按本次实施报告逐项核对；清单不等于方法已验证"
"9245_hy/adc_input_noise_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9245_hy/adc_input_noise_analysis.m","正式单项入口","function result = adc_input_noise_analysis(dataFolder, outputFolder, runOptions)","PICO联合DA9726刻度的输入等效1 Hz ASD","converter.calibration.loadAdcCalibration; converter.calibration.reportCalibration; converter.io.resolveInputPath; converter.io.resolveOutputBase; converter.io.selectMatFiles; converter.runtime.mergeConfig","9bbc9140b1e4b96808d300a22e4a3303c9dc1a524512fd67aa7ffc66b9c2c3aa","按本次实施报告逐项核对；清单不等于方法已验证"
"9245_hy/adc_isolation_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9245_hy/adc_isolation_analysis.m","正式单项入口","function results = adc_isolation_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","ADC驱动/受扰隔离度","converter.adc.runIsolation; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","e200c8fc457515092e38eed667581ee2f7ae66d002d2913f8bb30d13cd9be44c","按本次实施报告逐项核对；清单不等于方法已验证"
"9245_hy/adc_power_scale_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9245_hy/adc_power_scale_analysis.m","正式单项入口","function results = adc_power_scale_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","CodePp→Vpp刻度、99%临界输入估计","converter.adc.runPowerScale; converter.io.prepareAdcRadix; converter.io.selectCsvFiles; converter.runtime.applyRunOptions","5fcfc0540ee990363d83e96b0ac54d07cd287e43a92812851cb9d2174ca9e1fe","按本次实施报告逐项核对；清单不等于方法已验证"
"9245_hy/adc_sfdr_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9245_hy/adc_sfdr_analysis.m","正式单项入口","function results = adc_sfdr_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","SFDR/SNR/SINAD/THD/ENOB","converter.adc.runSfdr; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","7e35b86c8d8c1dcec080ad38212f76824f59c356cc09a2517267e707b2c85240","按本次实施报告逐项核对；清单不等于方法已验证"
"9245_hy/private/ad9245Config.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9245_hy/private/ad9245Config.m","private配置和辅助","function config = ad9245Config(analysisId)","按分类使用；不是独立测量入口","converter.calibration.reportCalibration","8f39511611310c527b2e68e32b32f5eeb68fbd85d5afdbdcf3d644bb7cf53f49","按本次实施报告逐项核对；清单不等于方法已验证"
"9245_hy/private/bootstrapRuntime.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9245_hy/private/bootstrapRuntime.m","private配置和辅助","function bootstrapRuntime()","按分类使用；不是独立测量入口","","0481507a95a544a1c227c0b7d63978d0955b449953c4c514a3c2032bb167c7ba","按本次实施报告逐项核对；清单不等于方法已验证"
"9726_hy/dac_isolation_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9726_hy/dac_isolation_analysis.m","正式单项入口","function result = dac_isolation_analysis(dataFolder, pairManifest, outputFolder, configOverride)","DAC同频隔离度及矩阵","converter.dac.runIsolation; converter.io.prepareDacIsolation","86d4624d6213387e9f3a06c89e995e35ce769e08e2411129004f96bbf6cd285a","按本次实施报告逐项核对；清单不等于方法已验证"
"9726_hy/dac_noise_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9726_hy/dac_noise_analysis.m","正式单项入口","function result = dac_noise_analysis(dataFolder, selectedFiles, outputFolder, configOverride)","DAC输出PSD/ASD，按配置启用积分","converter.dac.runNoise; converter.io.prepareDacInputs","42b72e1d780a4078f1c66cd23083871af192238e7da36a3e1bd9c5f37ca8517e","按本次实施报告逐项核对；清单不等于方法已验证"
"9726_hy/dac_scale_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9726_hy/dac_scale_analysis.m","正式单项入口","function result = dac_scale_analysis(dataFolder, selectedFiles, outputFolder, configOverride)","DAC正弦输出Vpp和码值刻度","converter.dac.runScale; converter.io.prepareDacInputs","ec49ecc67eab9e9ec32c1af702b340bd79220babf62d1b790e1eb7b807842abc","按本次实施报告逐项核对；清单不等于方法已验证"
"9726_hy/private/bootstrapRuntime.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9726_hy/private/bootstrapRuntime.m","private配置和辅助","function bootstrapRuntime()","按分类使用；不是独立测量入口","","af3931e7f67589898bea49542e5ee8e7c71873737a3cf953f714ca81bfa1a829","按本次实施报告逐项核对；清单不等于方法已验证"
"9726_hy/private/da9726Config.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9726_hy/private/da9726Config.m","private配置和辅助","function config = da9726Config(analysisId)","按分类使用；不是独立测量入口","converter.calibration.reportCalibration","6124e4982a20f6a916f39cd9da4a04761511b42997849ed944b07a23c7b356d7","按本次实施报告逐项核对；清单不等于方法已验证"
"9726_hy/private/normalizeDa9726Input.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9726_hy/private/normalizeDa9726Input.m","private配置和辅助","function [dataFolder, selectedFiles] = normalizeDa9726Input(dataFolder, selectedFiles)","按分类使用；不是独立测量入口","","fae2153db47474ca5119b04ed1092ee814384e796344fe3eca964b40bb3a29fd","按本次实施报告逐项核对；清单不等于方法已验证"
"9726_hy/private/resolveDa9726DataFolder.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9726_hy/private/resolveDa9726DataFolder.m","private配置和辅助","function folder = resolveDa9726DataFolder(analysisId)","按分类使用；不是独立测量入口","","d9194b0e88b78af2796cea4203df2d296086ad9244fef43464152dd431c12bad","按本次实施报告逐项核对；清单不等于方法已验证"
"9726_hy/split_dac_isolation_channels.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/9726_hy/split_dac_isolation_channels.m","器件辅助工具或历史调度","function result = split_dac_isolation_channels(dataFolder, selectedFiles, outputFolder, options)","按分类使用；不是独立测量入口","converter.io.resolveInputPath; converter.io.selectMatFiles; converter.report.writeTable; converter.runtime.sha256File","735bca48517eb69ef020751d8b2405d3837d482e6c20a7859a79eeedf9e3f9b3","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/analyzeDynamicMetrics.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/analyzeDynamicMetrics.m","公共内核_IO_输出_运行时","function metrics = analyzeDynamicMetrics(adcCode, config)","按分类使用；不是独立测量入口","converter.adc.findAccuratePeak; converter.adc.fitSine; converter.runtime.validateConfig","3b1294c87f663b0879104c2d60cc1435c03511d882ebc67aa333d3394b1a0fec","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/calculateBandwidth.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/calculateBandwidth.m","公共内核_IO_输出_运行时","function [results, details] = calculateBandwidth(adcCodeList, fileNames, fileFrequencyHz, config)","按分类使用；不是独立测量入口","converter.adc.analyzeDynamicMetrics; converter.adc.estimateFrequency; converter.adc.findThreeDbCrossing; converter.adc.refineSineFrequency; converter.runtime.validateConfig","afa09f9a1bf7b41cddae7b845b93778d7245e43802715000e7713af0a9bdcc73","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/calculateInlDnl.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/calculateInlDnl.m","公共内核_IO_输出_运行时","function [results, details] = calculateInlDnl(adcCodeList, fileNames, channelName, config)","按分类使用；不是独立测量入口","converter.adc.estimateFrequency; converter.adc.fitSine; converter.adc.refineSineFrequency; converter.runtime.validateConfig","d4689d726720dbf737aa7f71a65f218c036b2a14441465c61d6475e9be0f1501","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/calculateIsolation.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/calculateIsolation.m","公共内核_IO_输出_运行时","function [results, details] = calculateIsolation(adcCodeList, channelNames, drivenChannel, config)","按分类使用；不是独立测量入口","converter.adc.analyzeDynamicMetrics; converter.adc.estimateFrequency; converter.adc.refineSineFrequency; converter.runtime.validateConfig","cd064506fc9f1da7b74aadd7a8e8fa5f4fa78512ccb4492c040c131c2f05a7fc","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/calculatePowerScale.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/calculatePowerScale.m","公共内核_IO_输出_运行时","function [results, details] = calculatePowerScale(adcCodeList, fileNames, inputPowerDbm, channelNames, config, setpointInfo)","按分类使用；不是独立测量入口","converter.adc.analyzeDynamicMetrics; converter.adc.dbmToVpp; converter.adc.estimateCriticalInput; converter.adc.estimateFrequency; converter.adc.refineSineFrequency; converter.runtime.validateConfig","873e938e1e2a720d058c6a07e414dbd57b61b536ef886062cb5205ff07e87b19","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/dbmToVpp.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/dbmToVpp.m","公共内核_IO_输出_运行时","function vpp = dbmToVpp(inputPowerDbm, referenceImpedanceOhm)","按分类使用；不是独立测量入口","","05ceee582d19593570b2bd82acb635fd8ec5caf15d94542ccb3f3cb3d4323f15","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/estimateCriticalInput.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/estimateCriticalInput.m","公共内核_IO_输出_运行时","function estimate = estimateCriticalInput(results, calibrationCoefficient, config, referenceImpedanceOhm)","按分类使用；不是独立测量入口","converter.adc.vppToDbm","212680407e5dd2527ae3aa4e7197de54ecf3789355132d1c6e5ab4dc49dbabbb","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/estimateFrequency.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/estimateFrequency.m","公共内核_IO_输出_运行时","function [frequencyHz, peakLevelDb] = estimateFrequency(adcCode, sampleRate)","按分类使用；不是独立测量入口","converter.adc.findAccuratePeak","dd83ba1f126a0c822ef0fc5f687526fa448e2ebee3e9f16f27f8dcb819545160","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/findAccuratePeak.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/findAccuratePeak.m","公共内核_IO_输出_运行时","function [peak, peakIndex] = findAccuratePeak(data, lowIndex, highIndex)","按分类使用；不是独立测量入口","","4007637ca931749216196faff45e4ba6d023f5365d4c2f2bfa309b027d4f1fe9","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+adc/findThreeDbCrossing.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+adc/findThreeDbCrossing.m","公共内核_IO_输出_运行时","function bandwidthHz = findThreeDbCrossing(frequencyHz, relativeDb)","按分类使用；不是独立测量入口","","4749e52de87131931b74843b7d19f6dc5a9a5d45f13034720b1693de50d76ba5","按本次实施报告逐项核对；清单不等于方法已验证"
